team_id,franchiseId,shortName,teamName,abbreviation,division,conference,num_wins,points_def,points_3210,ploffs_def,ploffs_3210,league_position_def,league_position_3210,delta,division_rank_def,division_rank_3210
13,33,Florida,Panthers,FLA,ATL,east,47,103,142,,,6,5,1,1,1
14,31,Tampa Bay,Lightning,TBL,ATL,east,46,97,133,,,12,12,0,2,2
6,6,Boston,Bruins,BOS,ATL,east,42,93,126,,,15,14,1,3,3
17,12,Detroit,Red Wings,DET,ATL,east,41,93,123,,,16,16,0,4,4
8,1,Montreal,Canadiens,MTL,ATL,east,38,82,112,,,22,19,3,6,5
9,30,Ottawa,Senators,OTT,ATL,east,38,85,111,,,19,20,1,5,6
7,19,Buffalo,Sabres,BUF,ATL,east,35,81,110,,,23,23,0,7,7
10,5,Toronto,Maple Leafs,TOR,ATL,east,29,69,89,,,30,30,0,8,8
25,15,Dallas,Stars,DAL,CEN,west,50,109,151,,,2,2,0,1,1
19,18,St Louis,Blues,STL,CEN,west,49,107,143,,,3,3,0,2,2
16,11,Chicago,Blackhawks,CHI,CEN,west,47,103,139,,,5,8,3,3,3
18,34,Nashville,Predators,NSH,CEN,west,41,96,131,,,14,13,1,4,4
30,37,Minnesota,Wild,MIN,CEN,west,38,87,121,,,17,17,0,5,5
21,27,Colorado,Avalanche,COL,CEN,west,39,82,115,,,21,18,3,6,6
52,35,Winnipeg,Jets,WPG,CEN,west,35,78,107,,,24,24,0,7,7
53,28,Arizona,Coyotes,ARI,CEN,west,35,78,107,,,25,25,0,8,8
15,24,Washington,Capitals,WSH,MET,east,56,120,165,,,1,1,0,1,1
5,17,Pittsburgh,Penguins,PIT,MET,east,48,104,142,,,4,4,0,2,2
3,10,NY Rangers,Rangers,NYR,MET,east,46,101,140,,,9,7,2,3,3
2,22,NY Islanders,Islanders,NYI,MET,east,45,100,134,,,10,11,1,4,4
4,16,Philadelphia,Flyers,PHI,MET,east,41,96,124,,,13,15,2,5,5
12,26,Carolina,Hurricanes,CAR,MET,east,35,86,111,,,18,22,-4,6,6
1,23,New Jersey,Devils,NJD,MET,east,38,84,111,,,20,21,1,7,7
29,36,Columbus,Blue Jackets,CBJ,MET,east,34,76,102,,,27,26,1,8,8
24,32,Anaheim,Ducks,ANA,PAC,west,46,103,142,,,7,6,1,1,1
26,14,Los Angeles,Kings,LAK,PAC,west,48,102,136,,,8,9,1,2,2
28,29,San Jose,Sharks,SJS,PAC,west,46,98,135,,,11,10,1,3,3
20,21,Calgary,Flames,CGY,PAC,west,35,77,101,,,26,27,1,4,4
23,20,Vancouver,Canucks,VAN,PAC,west,31,75,97,,,28,28,0,5,5
22,25,Edmonton,Oilers,EDM,PAC,west,31,70,90,,,29,29,0,6,6
