team_id,franchiseId,shortName,teamName,abbreviation,division,conference,num_wins,points_def,points_3210,ploffs_def,ploffs_3210,league_position_def,league_position_3210,delta,division_rank_def,division_rank_3210
6,6,Boston,Bruins,BOS,ATL,east,54,117,164,,,1,1,0,1,1
14,31,Tampa Bay,Lightning,TBL,ATL,east,46,101,133,,,8,10,2,2,2
8,1,Montreal,Canadiens,MTL,ATL,east,46,100,133,,,10,11,1,3,3
17,12,Detroit,Red Wings,DET,ATL,east,39,93,123,,,15,16,1,4,4
9,30,Ottawa,Senators,OTT,ATL,east,37,88,115,,,20,19,1,5,5
10,5,Toronto,Maple Leafs,TOR,ATL,east,38,84,108,,,22,23,1,6,6
13,33,Florida,Panthers,FLA,ATL,east,29,66,87,,,29,29,0,7,7
7,19,Buffalo,Sabres,BUF,ATL,east,21,52,63,,,30,30,0,8,8
19,18,St Louis,Blues,STL,CEN,west,52,111,151,,,4,3,1,2,1
21,27,Colorado,Avalanche,COL,CEN,west,52,112,149,,,3,4,1,1,2
16,11,Chicago,Blackhawks,CHI,CEN,west,46,107,146,,,7,7,0,3,3
30,37,Minnesota,Wild,MIN,CEN,west,43,98,130,,,11,12,1,4,4
25,15,Dallas,Stars,DAL,CEN,west,40,91,125,,,16,15,1,5,5
18,34,Nashville,Predators,NSH,CEN,west,38,88,121,,,19,17,2,7,6
27,28,Phoenix,Coyotes,PHX,CEN,west,37,89,117,,,18,18,0,6,7
52,35,Winnipeg,Jets,WPG,CEN,west,37,84,108,,,23,24,1,8,8
5,17,Pittsburgh,Penguins,PIT,MET,east,51,109,149,,,6,5,1,1,1
3,10,NY Rangers,Rangers,NYR,MET,east,45,96,135,,,12,8,4,2,2
4,16,Philadelphia,Flyers,PHI,MET,east,42,94,129,,,13,13,0,3,3
29,36,Columbus,Blue Jackets,CBJ,MET,east,43,93,128,,,14,14,0,4,4
15,24,Washington,Capitals,WSH,MET,east,38,90,114,,,17,20,3,5,5
1,23,New Jersey,Devils,NJD,MET,east,35,88,114,,,21,21,0,6,6
12,26,Carolina,Hurricanes,CAR,MET,east,36,83,113,,,25,22,3,7,7
2,22,NY Islanders,Islanders,NYI,MET,east,34,79,100,,,26,26,0,8,8
24,32,Anaheim,Ducks,ANA,PAC,west,54,116,160,,,2,2,0,1,1
28,29,San Jose,Sharks,SJS,PAC,west,51,111,148,,,5,6,1,2,2
26,14,Los Angeles,Kings,LAK,PAC,west,46,100,134,,,9,9,0,3,3
23,20,Vancouver,Canucks,VAN,PAC,west,36,83,108,,,24,25,1,4,4
20,21,Calgary,Flames,CGY,PAC,west,35,77,98,,,27,27,0,5,5
22,25,Edmonton,Oilers,EDM,PAC,west,29,67,87,,,28,28,0,6,6
