team_id,franchiseId,shortName,teamName,abbreviation,division,conference,num_wins,points_def,points_3210,ploffs_def,ploffs_3210,league_position_def,league_position_3210,delta,division_rank_def,division_rank_3210
14,31,Tampa Bay,Lightning,TBL,ATL,east,54,113,155,,,3,3,0,1,1
6,6,Boston,Bruins,BOS,ATL,east,50,112,153,,,4,4,0,2,2
10,5,Toronto,Maple Leafs,TOR,ATL,east,49,105,142,,,7,7,0,3,3
13,33,Florida,Panthers,FLA,ATL,east,44,96,134,,,16,11,5,4,4
17,12,Detroit,Red Wings,DET,ATL,east,30,73,95,,,27,27,0,5,5
8,1,Montreal,Canadiens,MTL,ATL,east,29,71,95,,,28,28,0,6,6
9,30,Ottawa,Senators,OTT,ATL,east,28,67,85,,,30,30,0,7,7
7,19,Buffalo,Sabres,BUF,ATL,east,25,62,81,,,31,31,0,8,8
18,34,Nashville,Predators,NSH,CEN,west,53,117,159,,,1,1,0,1,1
52,35,Winnipeg,Jets,WPG,CEN,west,52,114,157,,,2,2,0,2,2
30,37,Minnesota,Wild,MIN,CEN,west,45,101,139,,,8,8,0,3,3
21,27,Colorado,Avalanche,COL,CEN,west,43,95,130,,,17,15,2,4,4
19,18,St Louis,Blues,STL,CEN,west,44,94,127,,,18,18,0,5,5
25,15,Dallas,Stars,DAL,CEN,west,42,92,125,,,19,19,0,6,6
16,11,Chicago,Blackhawks,CHI,CEN,west,33,76,102,,,25,24,1,7,7
53,28,Arizona,Coyotes,ARI,CEN,west,29,70,90,,,29,29,0,8,8
15,24,Washington,Capitals,WSH,MET,east,49,105,143,,,6,6,0,1,1
5,17,Pittsburgh,Penguins,PIT,MET,east,47,100,133,,,10,12,2,2,2
1,23,New Jersey,Devils,NJD,MET,east,44,97,130,,,15,14,1,5,3
4,16,Philadelphia,Flyers,PHI,MET,east,42,98,129,,,13,16,3,3,4
29,36,Columbus,Blue Jackets,CBJ,MET,east,45,97,127,,,14,17,3,4,5
12,26,Carolina,Hurricanes,CAR,MET,east,36,83,113,,,21,20,1,6,6
2,22,NY Islanders,Islanders,NYI,MET,east,35,80,105,,,22,22,0,7,7
3,10,NY Rangers,Rangers,NYR,MET,east,34,77,101,,,24,25,1,8,8
54,38,Vegas,Golden Knights,VGK,PAC,west,51,109,148,,,5,5,0,1,1
24,32,Anaheim,Ducks,ANA,PAC,west,44,101,136,,,9,9,0,2,2
28,29,San Jose,Sharks,SJS,PAC,west,45,100,135,,,11,10,1,3,3
26,14,Los Angeles,Kings,LAK,PAC,west,45,98,132,,,12,13,1,4,4
20,21,Calgary,Flames,CGY,PAC,west,37,84,112,,,20,21,1,5,5
22,25,Edmonton,Oilers,EDM,PAC,west,36,78,102,,,23,23,0,6,6
23,20,Vancouver,Canucks,VAN,PAC,west,31,73,98,,,26,26,0,7,7
