team_id,franchiseId,shortName,teamName,abbreviation,division,conference,num_wins,points_def,points_3210,ploffs_def,ploffs_3210,league_position_def,league_position_3210,delta,division_rank_def,division_rank_3210
8,1,Montreal,Canadiens,MTL,ATL,east,47,103,136,,,8,11,3,1,1
6,6,Boston,Bruins,BOS,ATL,east,44,95,133,,,13,12,1,3,2
9,30,Ottawa,Senators,OTT,ATL,east,44,98,132,,,12,13,1,2,3
10,5,Toronto,Maple Leafs,TOR,ATL,east,40,95,128,,,14,15,1,4,4
14,31,Tampa Bay,Lightning,TBL,ATL,east,42,94,126,,,16,18,2,5,5
13,33,Florida,Panthers,FLA,ATL,east,35,81,104,,,23,24,1,6,6
7,19,Buffalo,Sabres,BUF,ATL,east,33,78,103,,,26,25,1,8,7
17,12,Detroit,Red Wings,DET,ATL,east,33,79,96,,,25,26,1,7,8
30,37,Minnesota,Wild,MIN,CEN,west,49,106,148,,,5,3,2,2,1
16,11,Chicago,Blackhawks,CHI,CEN,west,50,109,146,,,3,5,2,1,2
19,18,St Louis,Blues,STL,CEN,west,46,99,137,,,11,10,1,3,3
18,34,Nashville,Predators,NSH,CEN,west,41,94,129,,,18,14,4,4,4
52,35,Winnipeg,Jets,WPG,CEN,west,40,87,120,,,20,19,1,5,5
25,15,Dallas,Stars,DAL,CEN,west,34,79,107,,,24,23,1,6,6
53,28,Arizona,Coyotes,ARI,CEN,west,30,70,90,,,27,27,0,7,7
21,27,Colorado,Avalanche,COL,CEN,west,22,48,62,,,30,30,0,8,8
15,24,Washington,Capitals,WSH,MET,east,55,118,163,,,1,1,0,1,1
5,17,Pittsburgh,Penguins,PIT,MET,east,50,111,151,,,2,2,0,2,2
29,36,Columbus,Blue Jackets,CBJ,MET,east,50,108,147,,,4,4,0,3,3
3,10,NY Rangers,Rangers,NYR,MET,east,48,102,142,,,9,7,2,4,4
2,22,NY Islanders,Islanders,NYI,MET,east,41,94,127,,,17,16,1,5,5
12,26,Carolina,Hurricanes,CAR,MET,east,36,87,115,,,21,20,1,7,6
4,16,Philadelphia,Flyers,PHI,MET,east,39,88,113,,,19,21,2,6,7
1,23,New Jersey,Devils,NJD,MET,east,28,70,88,,,28,29,1,8,8
24,32,Anaheim,Ducks,ANA,PAC,west,46,105,145,,,6,6,0,1,1
22,25,Edmonton,Oilers,EDM,PAC,west,47,103,140,,,7,8,1,2,2
28,29,San Jose,Sharks,SJS,PAC,west,46,99,137,,,10,9,1,3,3
20,21,Calgary,Flames,CGY,PAC,west,45,94,126,,,15,17,2,4,4
26,14,Los Angeles,Kings,LAK,PAC,west,39,86,111,,,22,22,0,5,5
23,20,Vancouver,Canucks,VAN,PAC,west,30,69,88,,,29,28,1,6,6
